fips,county_name,median_hh_income,population,land_sqmi,pop_density_sqmi,pct_bachelors_plus,acs_vintage,source
05075,"Lawrence County, Arkansas",44164,16265,587.528,27.68,14.04,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05077,"Lee County, Arkansas",36860,8511,599.807,14.19,6.87,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05079,"Lincoln County, Arkansas",51667,12966,559.466,23.18,10.88,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05081,"Little River County, Arkansas",52241,11959,531.255,22.51,17.44,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05083,"Logan County, Arkansas",54237,21240,709.115,29.95,15.55,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05085,"Lonoke County, Arkansas",71449,74747,771.45,96.89,20.99,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05087,"Madison County, Arkansas",53888,17032,834.238,20.42,12.84,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05089,"Marion County, Arkansas",46953,17076,596.598,28.62,15.44,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05091,"Miller County, Arkansas",49983,42588,624.04,68.25,16.05,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05093,"Mississippi County, Arkansas",53428,39749,902.093,44.06,14.18,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05095,"Monroe County, Arkansas",43955,6681,607.461,11.0,15.64,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05097,"Montgomery County, Arkansas",49015,8571,780.453,10.98,16.85,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05099,"Nevada County, Arkansas",41761,8228,617.79,13.32,11.67,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05101,"Newton County, Arkansas",47395,7175,821.076,8.74,14.25,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05103,"Ouachita County, Arkansas",49838,22317,732.721,30.46,15.09,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05105,"Perry County, Arkansas",60078,10073,551.336,18.27,17.13,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05107,"Phillips County, Arkansas",38874,15910,690.36,23.05,14.53,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
05109,"Pike County, Arkansas",51000,10182,600.335,16.96,19.56,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
