state,county,census_instrument,census_status,census_episodes,census_statuses,census_date,census_source,tracker_mechanism,tracker_outcome,tracker_date,model_label,join_status,gap_class,label_check,label_false_negative
MD,Prince George's County,moratorium,active,1,active,2025-09-16,"moratorium-nation:md-prince-george-s-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2026-07-07,1,joined,covered_confirmed,agree,0
MO,Jackson County,moratorium,pending,1,pending,,"moratorium-nation:mo-jackson-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",ban,blocked_confirmed,2026-06-22,1,joined,census_pending_out_of_scope,out_of_scope,0
NC,Chatham County,moratorium,active,1,active,2026-02-11,"moratorium-nation:nc-chatham-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,pending,2026-02-13,1,joined,covered_unconfirmed,agree,0
NC,Clay County,moratorium,active,1,active,2026-01-08,"moratorium-nation:nc-clay-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",ban,blocked_confirmed,2022-08-04,1,joined,covered_confirmed,agree,0
NC,Gates County,moratorium,active,1,active,2025-12-17,"moratorium-nation:nc-gates-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2025-12-17,1,joined,covered_confirmed,agree,0
NC,Madison County,moratorium,expired,1,expired,2023-06-13,"moratorium-nation:nc-madison-county-2023 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2023-06-13,1,joined,covered_unconfirmed,agree,0
NC,Orange County,moratorium,active,1,active,2026-04-21,"moratorium-nation:nc-orange-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2026-04-21,1,joined,covered_confirmed,agree,0
NC,Rowan County,moratorium,active,1,active,2026-04-20,"moratorium-nation:nc-rowan-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2026-04-21,1,joined,covered_confirmed,agree,0
NC,Swain County,moratorium,active,1,active,2026-04-21,"moratorium-nation:nc-swain-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2026-04-01,1,joined,covered_confirmed,agree,0
NC,Watauga County,moratorium,pending,1,pending,,"moratorium-nation:nc-watauga-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2026-03-23,1,joined,census_pending_out_of_scope,out_of_scope,0
ND,Dunn County,moratorium,active,1,active,2026-03-18,"moratorium-nation:nd-dunn-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2026-03-18,1,joined,covered_unconfirmed,agree,0
ND,Mercer County,moratorium,active,1,active,2026-03-03,"moratorium-nation:nd-mercer-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2026-03-03,1,joined,covered_confirmed,agree,0
ND,Morton County,moratorium,active,1,active,2024-09-12,"moratorium-nation:nd-morton-county-2024 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2024-09-01,1,joined,covered_confirmed,agree,0
ND,Oliver County,moratorium,active,3,rescinded;expired;active,2024-12-12,"moratorium-nation:nd-oliver-county-2024-p1 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026) | moratorium-nation:nd-oliver-county-2025-p2 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026) | moratorium-nation:nd-oliver-county-2026-p3 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,advanced_confirmed,2024-12-12,1,joined,covered_unconfirmed,agree,0
ND,Williams County,moratorium,replaced,1,replaced,2023-06-20,"moratorium-nation:nd-williams-county-2023 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2023-06-20,1,joined,covered_confirmed,agree,0
NE,Hitchcock County,moratorium,replaced,1,replaced,2025-02-03,"moratorium-nation:ne-hitchcock-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2025-02-01,1,joined,covered_unconfirmed,agree,0
