fips,raw_oof_score,calibrated_score,score_decile,has_enacted_restrictive
40121,0.0668,0.06,5,0
40123,0.0849,0.0826,7,0
40125,0.092,0.0876,7,0
40127,0.0342,0.0312,2,0
40129,0.0256,0.0223,1,0
40131,0.1145,0.111,8,0
40133,0.0549,0.0501,4,0
40135,0.0658,0.0626,6,0
40137,0.0696,0.0665,6,0
40139,0.0506,0.0473,4,0
40141,0.0309,0.0246,1,0
40143,0.342,0.3844,10,1
40145,0.1148,0.1122,8,0
40147,0.1069,0.1037,8,0
40149,0.039,0.0342,2,0
40151,0.0455,0.0404,3,0
40153,0.0508,0.0438,4,0
41001,0.0608,0.0574,5,0
41003,0.2424,0.2633,10,0
41005,0.306,0.3259,10,0
41007,0.1048,0.104,8,0
41009,0.1052,0.1015,8,0
41011,0.1019,0.0979,8,0
41013,0.1073,0.1035,8,0
41015,0.0728,0.0696,6,0
41017,0.2397,0.2461,10,0
41019,0.1034,0.1,8,0
41021,0.026,0.0234,1,0
41023,0.0374,0.0338,2,0
41025,0.0317,0.0253,1,0
41027,0.1131,0.1096,8,0
41029,0.1839,0.1928,9,0
41031,0.067,0.0621,6,0
41033,0.1341,0.1331,8,0
41035,0.0891,0.0863,7,0
41037,0.0372,0.0329,2,0
41039,0.2346,0.2403,10,0
41041,0.1181,0.116,8,0
41043,0.1475,0.1498,9,0
41045,0.0515,0.0468,4,0
41047,0.28,0.309,10,0
41049,0.0828,0.0782,7,0
41051,0.4994,0.5298,10,0
41053,0.1556,0.1597,9,0
41055,0.0254,0.0228,1,0
41057,0.0809,0.0762,7,0
41059,0.2172,0.2254,9,0
41061,0.074,0.0709,6,0
41063,0.0553,0.0482,4,0
41065,0.0869,0.0847,7,0
41067,0.5877,0.638,10,0
41069,0.0229,0.019,1,0
41071,0.1593,0.1608,9,0
42001,0.1201,0.1183,8,0
42003,0.5635,0.5925,10,1
42005,0.0871,0.0826,7,0
42007,0.4555,0.4824,10,0
42009,0.0669,0.0619,6,0
42011,0.3422,0.3585,10,0
42013,0.1258,0.1268,8,0
42015,0.1588,0.1633,9,0
42017,0.6503,0.6878,10,1
42019,0.1828,0.1915,9,0
42021,0.1233,0.1219,8,0
42023,0.0275,0.0241,1,0
42025,0.3093,0.3223,10,1
42027,0.1853,0.1876,9,0
42029,0.7473,0.7777,10,1
42031,0.0762,0.0714,6,0
42033,0.171,0.1712,9,0
42035,0.0693,0.0644,6,0
42037,0.1933,0.1985,9,0
42039,0.0933,0.0884,7,0
42041,0.375,0.3924,10,0
42043,0.4575,0.4846,10,1
42045,0.3222,0.3478,10,0
42047,0.0628,0.0596,5,0
42049,0.1751,0.1768,9,0
42051,0.1059,0.1027,8,0
42053,0.0317,0.0253,1,0
42055,0.1275,0.1268,8,0
42057,0.0481,0.0431,4,0
42059,0.143,0.1458,9,0
42061,0.0691,0.0625,6,0
42063,0.2032,0.206,9,0
42065,0.0724,0.0676,6,0
42067,0.0595,0.0561,5,0
42069,0.8217,0.8634,10,1
42071,0.3851,0.4361,10,0
42073,0.2142,0.2255,9,0
42075,0.261,0.2749,10,0
42077,0.4569,0.4955,10,0
42079,0.6992,0.7495,10,1
42081,0.2032,0.2061,9,0
42083,0.0689,0.0657,6,0
42085,0.2195,0.2243,9,0
42087,0.1377,0.1355,8,0
42089,0.3761,0.3935,10,0
42091,0.7166,0.7669,10,1
42093,0.1833,0.1921,9,0
42095,0.4883,0.5299,10,0
42097,0.1023,0.0988,8,1
42099,0.1537,0.1546,9,0
42101,0.4538,0.4948,10,0
42103,0.1037,0.0998,8,0
42105,0.0438,0.0369,3,0
42107,0.3564,0.3742,10,1
42109,0.0837,0.0813,7,0
42111,0.0815,0.079,7,0
42113,0.0353,0.0316,2,0
42115,0.0677,0.0646,6,0
42117,0.1353,0.1372,8,0
42119,0.1805,0.1826,9,0
42121,0.0804,0.0757,7,0
42123,0.0681,0.0649,6,0
42125,0.537,0.6111,10,1
42127,0.155,0.1553,9,0
42129,0.3315,0.3453,10,0
42131,0.0668,0.0636,6,0
42133,0.5826,0.6123,10,1
44001,0.2318,0.2454,10,0
44003,0.2048,0.2086,9,0
44005,0.2506,0.2732,10,0
44007,0.4608,0.4843,10,0
44009,0.2237,0.2406,10,0
45001,0.0652,0.0619,6,0
45003,0.1772,0.1806,9,0
45005,0.0379,0.0331,2,0
45007,0.1588,0.1633,9,0
45009,0.0514,0.0463,4,0
45011,0.0526,0.0493,4,0
45013,0.2314,0.2368,10,0
45015,0.2662,0.2749,10,0
45017,0.0572,0.0502,4,0
45019,0.286,0.3032,10,0
45021,0.0925,0.0881,7,0
45023,0.0633,0.06,5,0
45025,0.0657,0.0625,6,0
45027,0.0678,0.0629,6,0
45029,0.0653,0.0585,5,1
45031,0.092,0.088,7,0
45033,0.0632,0.0583,5,0
45035,0.1621,0.1616,9,0
45037,0.0705,0.0675,6,0
45039,0.0534,0.0463,4,0
45041,0.1293,0.1288,8,0
45043,0.1129,0.111,8,0
45045,0.2663,0.2809,10,0
45047,0.1128,0.1092,8,1
45049,0.0497,0.0446,4,0
45051,0.2093,0.2126,9,0
45053,0.0772,0.0725,6,0
45055,0.0985,0.0961,8,0
45057,0.1381,0.1375,8,0
45059,0.0895,0.0875,7,0
45061,0.0499,0.0428,4,0
45063,0.2101,0.2242,9,0
45065,0.051,0.0474,4,0
45067,0.0615,0.0564,5,0
45069,0.0561,0.0526,5,0
45071,0.0814,0.0755,7,1
45073,0.1197,0.1181,8,0
45075,0.0955,0.094,7,0
45077,0.1445,0.1444,9,0
45079,0.2616,0.2866,10,0
45081,0.0591,0.054,5,0
45083,0.1881,0.1978,9,0
45085,0.1178,0.118,8,0
