opposed_project_id,opposed_project_name,opposed_state,opposed_lifecycle_outcome,opposed_decided,opposed_capacity_mw,opposed_county_margin_2024,control_rank,control_universe_id,control_name,control_source,control_state,control_capacity_mw,control_county_margin_2024,match_distance,match_basis,match_relaxation,match_scope
prj_252,Former Air Products Headquarters Data Center,PA,blocked_confirmed,yes,,0.0269,1,prj_246,Dauphin Highlands Golf Course sold for Data Center,proposals_unopposed,PA,,0.0592,0.0323,margin,state+tercile+caliper,in_state
prj_252,Former Air Products Headquarters Data Center,PA,blocked_confirmed,yes,,0.0269,2,prj_272,South Hanover Township Data Center,proposals_unopposed,PA,,0.0592,0.0323,margin,state+tercile+caliper,in_state
prj_252,Former Air Products Headquarters Data Center,PA,blocked_confirmed,yes,,0.0269,3,prj_262,Smithfield Gateway Project,proposals_unopposed,PA,,-0.0078,0.0347,margin,state+tercile+caliper,in_state
prj_253,Pennhurst Data Center,PA,blocked_confirmed,yes,,0.1446,1,prj_246,Dauphin Highlands Golf Course sold for Data Center,proposals_unopposed,PA,,0.0592,0.0854,margin,state+tercile+caliper,in_state
prj_253,Pennhurst Data Center,PA,blocked_confirmed,yes,,0.1446,2,prj_272,South Hanover Township Data Center,proposals_unopposed,PA,,0.0592,0.0854,margin,state+tercile+caliper,in_state
prj_253,Pennhurst Data Center,PA,blocked_confirmed,yes,,0.1446,3,prj_244,Springdale AI Data Center Redevelopment,proposals_unopposed,PA,180.0,0.2031,0.0585,margin,state+caliper,in_state
prj_254,Conshohocken Data Center,PA,pending,no,,0.2280,1,prj_244,Springdale AI Data Center Redevelopment,proposals_unopposed,PA,180.0,0.2031,0.0249,margin,state+tercile+caliper,in_state
prj_254,Conshohocken Data Center,PA,pending,no,,0.2280,2,prj_249,McKees Rocks Industrial Site Data Center,proposals_unopposed,PA,,0.2031,0.0249,margin,state+tercile+caliper,in_state
prj_254,Conshohocken Data Center,PA,pending,no,,0.2280,3,atl_00481,Expedient Pittsburgh South,atlas,PA,,0.2031,0.7249,margin,state+tercile+caliper,in_state
prj_255,Dickson City Data Centers,PA,blocked_confirmed,yes,,0.0279,1,prj_246,Dauphin Highlands Golf Course sold for Data Center,proposals_unopposed,PA,,0.0592,0.0313,margin,state+tercile+caliper,in_state
prj_255,Dickson City Data Centers,PA,blocked_confirmed,yes,,0.0279,2,prj_272,South Hanover Township Data Center,proposals_unopposed,PA,,0.0592,0.0313,margin,state+tercile+caliper,in_state
prj_255,Dickson City Data Centers,PA,blocked_confirmed,yes,,0.0279,3,prj_262,Smithfield Gateway Project,proposals_unopposed,PA,,-0.0078,0.0357,margin,state+tercile+caliper,in_state
prj_258,Linfield Data Center,PA,pending,no,,0.2280,1,prj_244,Springdale AI Data Center Redevelopment,proposals_unopposed,PA,180.0,0.2031,0.0249,margin,state+tercile+caliper,in_state
prj_258,Linfield Data Center,PA,pending,no,,0.2280,2,prj_249,McKees Rocks Industrial Site Data Center,proposals_unopposed,PA,,0.2031,0.0249,margin,state+tercile+caliper,in_state
prj_258,Linfield Data Center,PA,pending,no,,0.2280,3,atl_00481,Expedient Pittsburgh South,atlas,PA,,0.2031,0.7249,margin,state+tercile+caliper,in_state
prj_259,Kline Township Data Center,PA,pending,no,,-0.4206,1,prj_250,Project Hummingbird,proposals_unopposed,PA,910.0,-0.4483,0.0277,margin,state+tercile+caliper,in_state
prj_259,Kline Township Data Center,PA,pending,no,,-0.4206,2,prj_245,Homer City Energy + AI Campus,proposals_unopposed,PA,4500.0,-0.3912,0.0294,margin,state+tercile+caliper,in_state
prj_259,Kline Township Data Center,PA,pending,no,,-0.4206,3,prj_285,Linde Clinton Data Center,proposals_unopposed,PA,,-0.3709,0.0497,margin,state+tercile+caliper,in_state
prj_260,Ransom Township Data Center,PA,blocked_confirmed,yes,,0.0279,1,prj_246,Dauphin Highlands Golf Course sold for Data Center,proposals_unopposed,PA,,0.0592,0.0313,margin,state+tercile+caliper,in_state
prj_260,Ransom Township Data Center,PA,blocked_confirmed,yes,,0.0279,2,prj_272,South Hanover Township Data Center,proposals_unopposed,PA,,0.0592,0.0313,margin,state+tercile+caliper,in_state
prj_260,Ransom Township Data Center,PA,blocked_confirmed,yes,,0.0279,3,prj_262,Smithfield Gateway Project,proposals_unopposed,PA,,-0.0078,0.0357,margin,state+tercile+caliper,in_state
